Date,Activity Type,Duration (Minutes),Calories Burned
2025-01-01,Running,30,300
2025-01-02,Yoga,45,150
2025-01-03,Cycling,60,450
2025-01-04,Running,25,250
2025-01-05,Swimming,40,320
2025-01-06,Yoga,30,100
2025-01-07,Cycling,50,380
2025-01-08,Running,35,340
2025-01-09,Walking,60,200
2025-01-10,Yoga,45,150
2025-01-11,Cycling,45,340
2025-01-12,Running,30,300
2025-01-13,Swimming,35,280
2025-01-14,Walking,40,140
2025-01-15,Yoga,50,170
2025-01-16,Running,40,400
2025-01-17,Cycling,55,410
2025-01-18,Walking,30,100
2025-01-19,Swimming,45,360
2025-01-20,Running,20,200
2025-01-21,Yoga,40,130
2025-01-22,Cycling,60,450
2025-01-23,Running,35,350
2025-01-24,Walking,50,170
2025-01-25,Swimming,30,240
2025-01-26,Yoga,35,120
2025-01-27,Cycling,40,300
2025-01-28,Running,45,450
2025-01-29,Walking,25,90
2025-01-30,Yoga,55,180
2025-01-31,Running,30,300
2025-02-01,Cycling,45,340
2025-02-02,Yoga,40,140
2025-02-03,Swimming,50,400
2025-02-04,Walking,35,120
2025-02-05,Running,25,250
2025-02-06,Yoga,45,150
2025-02-07,Cycling,60,450
2025-02-08,Running,40,400
2025-02-09,Walking,45,150
2025-02-10,Swimming,30,240
2025-02-11,Yoga,50,170
2025-02-12,Cycling,35,270
2025-02-13,Running,35,350
2025-02-14,Walking,60,200
2025-02-15,Yoga,30,100
2025-02-16,Swimming,40,320
2025-02-17,Cycling,55,410
2025-02-18,Running,20,200
2025-02-19,Walking,30,100
2025-02-20,Yoga,45,150
2025-02-21,Cycling,50,380
2025-02-22,Running,45,450
2025-02-23,Swimming,35,280
2025-02-24,Walking,50,170
2025-02-25,Yoga,35,120
2025-02-26,Cycling,40,300
2025-02-27,Running,30,300
2025-02-28,Yoga,55,180
2025-03-01,Swimming,45,360
